time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,col9
5.207623048E9,-4.192715068,-1.5112432305743,-3.56591045523465,-4.26205028967506,-4.45851746814456,-4.52646670312033,-4.56140046090253,10.7762
5.207625225E9,-4.188412631,-1.49941642329697,-3.5585615837517,-4.25680913317753,-4.45405605829057,-4.522532416769,-4.55764419725358,10.7762
5.207627402E9,-4.183619972,-1.48630175492554,-3.55039847226024,-4.2509773590849,-4.44908701835892,-4.51814669031675,-4.55345543397285,10.7762
5.207629578E9,-4.178902559,-1.47346271094818,-3.54239050590275,-4.24524481188913,-4.44419681799581,-4.5138261261942,-4.54932717431727,10.7762
5.207631755E9,-4.174468296,-1.4614740681115,-3.5348940744194,-4.23986511830849,-4.43960108233892,-4.50976066690774,-4.54544068711638,10.7762
5.207633932E9,-4.170174541,-1.44994128929122,-3.52766460143603,-4.2346642481609,-4.4351518706369,-4.50582000771999,-4.5416716275663,10.7762
5.207636109E9,-4.166026984,-1.43887988425348,-3.52071176159155,-4.22964911965197,-4.43085508201173,-4.50200936081847,-4.53802497782919,10.7762
5.207638285E9,-4.161997999,-1.42821322595369,-3.51398810813715,-4.22478600476884,-4.42668206193353,-4.49830350256727,-4.53447667523056,10.7762
5.207640462E9,-4.157879849,-1.41736677576355,-3.50713746921616,-4.21982145934926,-4.42241735711969,-4.49451266074811,-4.53084562605175,10.7762
5.207642639E9,-4.153739801,-1.40652645562887,-3.50027514034889,-4.21483753947947,-4.41813073239538,-4.49069829472304,-4.52719048592935,10.7762
5.207644816E9,-4.149624506,-1.39582132937262,-3.493481130239,-4.20989116652843,-4.41387057263605,-4.48690302165043,-4.52355192525131,10.7762
5.207646992E9,-4.145497655,-1.38515119636566,-3.48669327698929,-4.20493806789075,-4.40959922318123,-4.48309366287529,-4.5198982796341,10.7762
5.207649169E9,-4.141336921,-1.37445452709595,-3.47987339261761,-4.19995102960207,-4.40529353078427,-4.47924981284037,-4.51621007400571,10.7762
5.207651346E9,-4.137159985,-1.36354491015457,-3.47301952437107,-4.19488821723709,-4.40089056236454,-4.47532139088603,-4.51244455554149,10.7762
5.207653523E9,-4.132908957,-1.35229258891049,-3.46603654678075,-4.18968719419114,-4.39634080394491,-4.47126409899025,-4.50855881275777,10.7762
5.2076557E9,-4.128496851,-1.34064686695911,-3.45880131091867,-4.18429303542888,-4.39161969811198,-4.4670520015362,-4.50452404172014,10.7762
5.207657876E9,-4.124104699,-1.32912887597627,-3.45162682669195,-4.17893223206165,-4.38692230991726,-4.46285647830613,-4.50050335208247,10.7762
5.207660053E9,-4.119765064,-1.31783181101056,-3.44456919632269,-4.17364545951835,-4.38228371045222,-4.45870837584269,-4.49652611698244,10.7762
5.20766223E9,-4.115479774,-1.30676045239994,-3.43763140368231,-4.16843494773387,-4.37770585547222,-4.45460944275413,-4.49259401469798,10.7762
5.207664407E9,-4.111330441,-1.29614984141717,-3.43095459553681,-4.16340281479804,-4.37327668553061,-4.45063693411327,-4.48878056741439,10.7762
5.207666583E9,-4.107311876,-1.28598527565279,-3.42452988813082,-4.15854259678905,-4.36899061696274,-4.44678593013943,-4.48508108744002,10.7762
5.20766876E9,-4.103387491,-1.27616184781666,-3.41829417836704,-4.15380856824442,-4.36480823982329,-4.44302178178458,-4.48146258985181,10.7762
