time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,P
28226.88,-5.347,0.014,-3.63,-4.933,-5.404,-5.643,-5.776,83.9
63610.273,-5.363,-0.041,-3.668,-4.962,-5.426,-5.662,-5.794,83.9
98997.12,-5.377,-0.092,-3.703,-4.989,-5.447,-5.68,-5.81,83.9
134377.92,-5.39,-0.141,-3.735,-5.013,-5.466,-5.695,-5.824,83.9
169758.72,-5.408,-0.21,-3.777,-5.044,-5.491,-5.717,-5.844,83.9
205139.52,-5.429,-0.281,-3.821,-5.077,-5.519,-5.741,-5.866,83.9
240528.97,-5.444,-0.331,-3.853,-5.102,-5.539,-5.759,-5.882,83.9
275909.75,-5.46,-0.396,-3.892,-5.13,-5.561,-5.778,-5.899,83.9
311290.56,-5.477,-0.465,-3.934,-5.16,-5.586,-5.799,-5.919,83.9
346679.97,-5.495,-0.53,-3.974,-5.19,-5.61,-5.82,-5.937,83.9
382060.78,-5.508,-0.573,-4.001,-5.211,-5.628,-5.836,-5.952,83.9
417441.6,-5.522,-0.619,-4.03,-5.233,-5.646,-5.852,-5.967,83.9
452822.4,-5.538,-0.673,-4.064,-5.259,-5.667,-5.87,-5.984,83.9
488211.84,-5.556,-0.741,-4.105,-5.289,-5.692,-5.892,-6.004,83.9
523592.66,-5.573,-0.801,-4.14,-5.315,-5.714,-5.911,-6.021,83.9
558973.44,-5.587,-0.848,-4.168,-5.336,-5.731,-5.927,-6.036,83.9
594354.25,-5.597,-0.884,-4.189,-5.351,-5.745,-5.938,-6.047,83.9
629743.7,-5.604,-0.91,-4.204,-5.363,-5.754,-5.947,-6.055,83.9
665124.5,-5.61,-0.927,-4.215,-5.371,-5.761,-5.953,-6.06,83.9
700505.3,-5.613,-0.936,-4.221,-5.375,-5.765,-5.956,-6.064,83.9
735894.7,-5.615,-0.938,-4.223,-5.377,-5.767,-5.958,-6.066,83.9
771275.5,-5.615,-0.92,-4.215,-5.373,-5.765,-5.957,-6.065,83.9
806656.3,-5.61,-0.889,-4.2,-5.364,-5.758,-5.952,-6.06,83.9
842037.1,-5.603,-0.841,-4.176,-5.349,-5.746,-5.942,-6.052,83.9
877392.0,-5.593,-0.796,-4.151,-5.332,-5.732,-5.931,-6.042,83.9
912815.94,-5.582,-0.735,-4.119,-5.31,-5.716,-5.917,-6.029,83.9
